,,,,,
Hex signature,ISO 8859-1,Offset,Extension,Description,
23 21,#!,0,,Script or data to be passed to the program following the shebang (#!)[1],
D4 C3 B2 A1 (little-endian),ÔÃ²¡,0,pcap,Libpcap File Format[2],
A1 B2 C3 D4 (big-endian),¡²ÃÔ,,,,
4D 3C B2 A1 (little-endian),M<²¡,0,pcap,Libpcap File Format (nanosecond-resolution)[2],
A1 B2 3C 4D (big-endian),¡²<M,,,,
0A 0D 0D 0A,␊␍␍␊,0,pcapng,PCAP Next Generation Dump File Format[3],
ED AB EE DB,í«îÛ,0,rpm,RedHat Package Manager (RPM) package[4],
53 51 4C 69 74 65 20 66,SQLite format 3␀,0,sqlitedb,SQLite Database[5],
6F 72 6D 61 74 20 33 00,,,sqlite,,
,,,db,,
53 50 30 31,SP01,0,bin,Amazon Kindle Update Package[6],
49 57 41 44,IWAD,0,wad,internal WAD (main resource file of Doom)[7],
0,␀,0,PIC,IBM Storyboard bitmap file,
,,,PIF,Windows Program Information File,
,,,SEA,Mac Stuffit Self-Extracting Archive,
,,,YTR,IRIS OCR data file,
00 00 00 00 00 00 00 00,␀␀␀␀␀␀␀␀,11,PDB,PalmPilot Database/Document File,
00 00 00 00 00 00 00 00,␀␀␀␀␀␀␀␀,,,,
00 00 00 00 00 00 00 00,␀␀␀␀␀␀␀␀,,,,
BE BA FE CA,¾ºþÊ,0,DBA,Palm Desktop Calendar Archive,
00 01 42 44,␀␁BD,0,DBA,Palm Desktop To Do Archive,
00 01 44 54,␀␁DT,0,TDA,Palm Desktop Calendar Archive,
54 44 46 24,TDF$,0,TDF$,Telegram Desktop File,
54 44 45 46,TDEF,0,TDEF,Telegram Desktop Encrypted File,
00 01 00 00,␀␁␀␀,0,,Palm Desktop Data File (Access format),
00 00 01 00,␀␀␁␀,0,ico,Computer icon encoded in ICO file format[8],
69 63 6e 73,icns,0,icns,Apple Icon Image format,
66 74 79 70 33 67,ftyp3g,4,3gp,3rd Generation Partnership Project 3GPP and 3GPP2 multimedia files,
,,,3g2,,
1F 9D,␟□,0,z,compressed file (often tar zip) using Lempel-Ziv-Welch algorithm,
,,,tar.z,,
1F A0,␟⍽,0,z,Compressed file (often tar zip) using LZH algorithm,
,,,tar.z,,
42 41 43 4B 4D 49 4B 45,BACKMIKEDISK,0,bac,AmiBack Amiga Backup data file,
44 49 53 4B,,,,,
49 4E 44 58,INDX,0,idx,AmiBack Amiga Backup index file,
